img,rating,reviews,manufacturer,title,model,price,shipping_price,original_price
https://c1.neweggimages.com/productimage/nb300/14-932-617-01.jpg,4.7,76,GIGABYTE,"GIGABYTE GeForce RTX 4060 Ti AERO OC 8G Graphics Card, 3x WINDFORCE Fans, 8GB 128-bit GDDR6, GV-N406TAERO OC-8GD Video Card",GV-N406TAERO OC-8GD,678.99,0.0,678.99
https://c1.neweggimages.com/productimage/nb300/BP4YS2502201B371WDC.jpg,5.0,3,Sapphire Tech,"SAPPHIRE Tech NITRO+ Radeon RX 7900 XTX OC 24GB Graphics Card, 384 bit GDDR6G PCI-Express 4.0 x16 ATX Video Card, RDNA 3 Architecture, vapor-X, for deepseek, ai model, silver",SAPPHIRE NITRO+ Radeon RX 7900 XTX,1292.04,0.0,1292.04
https://c1.neweggimages.com/productimage/nb300/BP4YS25030804SF4S57.jpg,0.0,0,Sapphire Tech,SAPPHIRE Tech PURE Radeon RX 7700 XT 12GB GDDR6 PCI Express 4.0 x16 Video Card 11335-03-20G,PURE 7700XT,599.0,0.0,599.0
https://c1.neweggimages.com/productimage/nb300/14-930-083-01.jpg,5.0,1,ASRock,REFURBISHED ASRock Phantom Gaming Radeon RX 7900 XT 20GB GDDR6 PCI Express 4.0 ATX Graphics Card RX7900XT PG 20GO,RX7900XT PG 20GO,579.99,0.0,579.99
https://c1.neweggimages.com/productimage/nb300/14-932-807-03.jpg,4.8,158,GIGABYTE,GIGABYTE Gaming Radeon RX 9060 XT 8GB GDDR6 PCI Express 5.0 x16 ATX Graphics Card GV-R9060XTGAMING OC-8GD RX 9060XT,GV-R9060XTGAMING OC-8GD,599.0,0.0,599.0
https://c1.neweggimages.com/productimage/nb300/14-125-844-01.jpg,4.0,11,GIGABYTE,GIGABYTE GeForce GT 710 2GB DDR3 PCI Express 2.0 x8 Low Profile Graphics Card GV-N710D3-2GL 1.0,GV-N710D3-2GL 1.0,65.0,0.0,65.0
https://c1.neweggimages.com/productimage/nb300/A24GD2503280C69S31E.jpg,5.0,1,Lenovo,Lenovo NVIDIA RTX A400 Graphic Card - 4 GB GDDR6 - 4 x Mini DisplayPort - Mini DisplayPort,4X61Q73040,222.8,0.0,271.99
https://c1.neweggimages.com/productimage/nb300/BJXUS2602090HWNZR04.jpg,4.0,1,Unknown,"SRhonyra RTX 3060 Low Profile Graphics Card, 12GB 192-bit GDDR6, DisplayPort and HDMI Outputs, PCIe 4.0 x16, capable of local AI, AI Computing, running 7B-13B LLMs",SR306D6LP12G1,495.59,0.0,799.99
https://c1.neweggimages.com/productimage/nb300/BJXUS23033006PJGG28.jpg,5.0,1,Unknown,SRhonyra GeForce GTX 1050 ti low profile video card 4G GDDR5 supper compact PCI Express 3.0 x16 Single Slot Powered by PCI bus HDMI DP port low profile gpu lp gpu,SR105TD5LP4G1,172.0,0.0,299.0
https://c1.neweggimages.com/productimage/nb300/BJXUS2411290GAFVH4F.jpg,1.0,1,Unknown,SRhonyra GTX 1050 4GB Graphics Card GDDR5 128 Bit PCIe 3.0 x16 Bus Powered DP+HDMI+DVI Ports Gaming Video Card Dual Width GPU for Tower PC Case,SR105D5M4G1,99.59,0.0,119.5
