img,rating,reviews,manufacturer,title,model,price,shipping_price,original_price,memory,price_per_gb,series,generation
https://c1.neweggimages.com/productimage/nb300/14-126-793-01.png,4.8,60,ASUS,ASUS PRIME GeForce RTX 5060 Ti 8GB 128-Bit GDDR7 PCI Express 5.0 x8 DLSS 4.0 Graphics Card PRIME-RTX5060TI-O8G,PRIME-RTX5060TI-O8G,609.99,0.0,609.99,8.0,76.24875,RTX 5060,RTX 5000
https://c1.neweggimages.com/productimage/nb300/14-202-409-02.jpg,4.6,130,Sapphire Tech,SAPPHIRE PULSE Radeon RX 6600 8GB GDDR6 PCI Express 4.0 ATX Graphics Card 11310-01-20G,11310-01-20G,490.0,0.0,490.0,8.0,61.25,RX 6600,RX 6000
https://c1.neweggimages.com/productimage/nb300/14-133-865-22.jpg,4.9,9,Unknown,PNY GeForce RTX 4070 Ti SUPER 16GB VERTO Overclocked Triple Fan DLSS 3 VCG4070TS16TFXPB1-O,VCG4070TS16TFXPB1-O,1370.0,0.0,1370.0,16.0,85.625,RTX 4070,RTX 4000
https://c1.neweggimages.com/productimage/nb300/14-202-005-02.jpg,4.1,38,Sapphire Tech,USED - VERY GOOD SAPPHIRE Vapor-X Radeon HD 7970 GHz Edition 6GB GDDR5 PCI Express 3.0 x16 CrossFireX Support Graphics Card 100351-6GVXSR,100351-6GVXSR,159.99,0.0,159.99,6.0,26.665000000000003,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-125-962-Z01.jpg,3.7,92,GIGABYTE,GIGABYTE Radeon RX 580 8GB GDDR5 PCI Express 3.0 x16 ATX Graphics Card GV-RX580GAMING-8GD,GV-RX580GAMING-8GD,495.0,0.0,495.0,8.0,61.875,RX 580,RX 500
https://c1.neweggimages.com/productimage/nb300/14-932-611-V01.jpg,5.0,3,GIGABYTE,REFURBISHED GIGABYTE WINDFORCE GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 x16 ATX Graphics Card GV-N4070WF3OC-12GD G10-R,GV-N4070WF3OC-12GD G10-R,699.99,0.0,699.99,12.0,58.3325,RTX 4070,RTX 4000
https://c1.neweggimages.com/productimage/nb300/14-126-353-V01.jpg,4.1,30,ASUS,USED - VERY GOOD ASUS GeForce GTX 1660 SUPER Overclocked 6GB Phoenix Fan Edition HDMI DP DVI Graphics Card (PH-GTX1660S-O6G),PH-GTX1660S-O6G,199.99,0.0,199.99,6.0,33.33166666666667,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-130-734-03.jpg,3.0,12,Unknown,REFURBISHED EVGA GeForce 8400 GS 1GB DDR3 PCI Express 2.0 x16 SLI Support Graphics Card 01G-P3-1302-RX,01G-P3-1302-RX,39.99,0.0,39.99,1.0,39.99,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-126-465-S02.jpg,5.0,2,ASUS,ASUS TUF Gaming GeForce GTX 1660 SUPER 6GB GDDR6 PCI Express 3.0 Graphics Card TUF-GTX1660S-6G-GAMING,TUF-GTX1660S-6G-GAMI,369.0,0.0,369.0,6.0,61.5,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-137-111-Z01.jpg,2.9,71,MSI,MSI GeForce GTX 1080 Ti 11GB GDDR5X PCI Express 3.0 x16 SLI Support Graphics Card GeForce GTX 1080 TI ARMOR 11G OC,GTX1080TiARMOR11GOC,399.0,0.0,399.0,11.0,36.27272727272727,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-130-944-18.jpg,4.5,77,Unknown,EVGA 04G-P4-3768-KR G-SYNC Support GeForce GTX 760 FTW 4GB 256-bit GDDR5 PCI Express 3.0 SLI Support Video Card w/ EVGA ACX Cooler,04G-P4-3768-KR,454.0,0.0,454.0,4.0,113.5,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-137-913-07.jpg,4.5,248,MSI,MSI Ventus GeForce RTX 5080 16GB GDDR7 PCI Express 5.0 Graphics Card RTX 5080 16G VENTUS 3X OC PLUS,RTX 5080 16G VENTUS 3X OC PLUS,1999.0,0.0,1999.0,16.0,124.9375,RTX 5080,RTX 5000
https://c1.neweggimages.com/productimage/nb300/14-121-775-04.jpg,3.9,193,ASUS,ASUS GTX760-DC2OC-2GD5 G-SYNC Support GeForce GTX 760 2GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,GTX760-DC2OC-2GD5,279.0,0.0,279.0,5.0,55.8,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-121-724-09.jpg,4.6,47,ASUS,ASUS GeForce GTX TITAN 6GB GDDR5 PCI Express 3.0 SLI Support Graphics Card GTXTITAN-6GD5,GTXTITAN-6GD5,399.0,0.0,399.0,6.0,66.5,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-487-130-09.jpg,4.8,59,Unknown,"EVGA GeForce GTX TITAN X 12G-P4-2992-KR 12GB SC GAMING, Play 4k with Ease Graphics Card",12G-P4-2992-KR,399.0,0.0,399.0,12.0,33.25,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-137-140-V01.jpg,4.3,25,MSI,MSI GeForce GT 1030 2GB GDDR5 PCI Express 3.0 x16 (uses x4) Low Profile Graphics Card GT 1030 2GH LP OC,GT 1030 2GH LP OC,248.0,0.0,248.0,2.0,124.0,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-126-215-V02.jpg,5.0,1,ASUS,ASUS GeForce GT 1030 DirectX 12 GT1030-SL-2G-BRK 2GB 64-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,GT1030-SL-2G-BRK,95.81,0.0,95.81,2.0,47.905,Other,Other
https://c1.neweggimages.com/productimage/nb300/14-137-936-05.jpg,4.7,210,MSI,MSI VANGUARD GeForce RTX 5070 12GB GDDR7 PCI Express 5.0 ATX Graphics Card RTX 5070 12G VANGUARD SOC,RTX 5070 12G VANGUARD SOC,1231.9,0.0,1231.9,12.0,102.65833333333335,RTX 5070,RTX 5000
